X Location (m),Y Location (m),Z Location (m),X Deformation (m),Y Deformation (m),Z Deformation (m)
0,5.25,0,0,0,0
0,4.5,0,0,0,0
0,3.75,0,0,0,0
0,3,0,0,0,0
0,2.25,0,0,0,0
0,1.5,0,0,0,0
0,0.75,0,0,0,0
0,5.25,0.4,0,0,0
0,4.5,0.4,0,0,0
0,3.75,0.4,0,0,0
0,3,0.4,0,0,0
0,2.25,0.4,0,0,0
0,1.5,0.4,0,0,0
0,0.75,0.4,0,0,0
0,0,0.4,0,0,0
0,-0.75,0.4,0,0,0
0,-1.5,0.4,0,0,0
0,-2.25,0.4,0,0,0
0,-3,0.4,0,0,0
0,-3.75,0.4,0,0,0
0,-4.5,0.4,0,0,0
0,-5.25,0.4,0,0,0
0,-6,0.4,0,0,0
0,6,0,0,0,0
0,6,0.4,0,0,0
0,0,0,0,0,0
0,-0.75,0,0,0,0
0,-1.5,0,0,0,0
0,-2.25,0,0,0,0
0,-3,0,0,0,0
0,-3.75,0,0,0,0
0,-4.5,0,0,0,0
0,-5.25,0,0,0,0
0,-6,0,0,0,0
46.5,-0.75,0,-3.94E-02,-1.6973,2.73E-06
45,-0.75,0,-3.93E-02,-1.6152,-3.84E-06
43.5,-0.75,0,-3.92E-02,-1.5333,-8.64E-06
42,-0.75,0,-3.89E-02,-1.4519,-1.24E-05
40.5,-0.75,0,-3.86E-02,-1.371,-1.58E-05
39,-0.75,0,-3.82E-02,-1.291,-1.90E-05
37.5,-0.75,0,-3.77E-02,-1.2119,-2.21E-05
36,-0.75,0,-3.71E-02,-1.1339,-2.52E-05
34.5,-0.75,0,-3.64E-02,-1.0572,-2.83E-05
33,-0.75,0,-3.57E-02,-0.98189,-3.14E-05
31.5,-0.75,0,-3.48E-02,-0.90812,-3.45E-05
30,-0.75,0,-3.40E-02,-0.83608,-3.76E-05
28.5,-0.75,0,-3.30E-02,-0.76591,-4.07E-05
27,-0.75,0,-3.19E-02,-0.69778,-4.39E-05
25.5,-0.75,0,-3.08E-02,-0.63183,-4.70E-05
24,-0.75,0,-2.96E-02,-0.56822,-5.01E-05
22.5,-0.75,0,-2.83E-02,-0.50711,-5.32E-05
21,-0.75,0,-2.69E-02,-0.44867,-5.63E-05
19.5,-0.75,0,-2.55E-02,-0.39303,-5.93E-05
18,-0.75,0,-2.40E-02,-0.34036,-6.24E-05
16.5,-0.75,0,-2.23E-02,-0.29082,-6.54E-05
15,-0.75,0,-2.07E-02,-0.24456,-6.83E-05
13.5,-0.75,0,-1.89E-02,-0.20173,-7.11E-05
12,-0.75,0,-1.71E-02,-0.1625,-7.36E-05
10.5,-0.75,0,-1.52E-02,-0.12701,-7.57E-05
9,-0.75,0,-1.32E-02,-9.54E-02,-7.70E-05
7.5,-0.75,0,-1.11E-02,-6.79E-02,-7.73E-05
6,-0.75,0,-8.91E-03,-4.46E-02,-7.56E-05
4.5,-0.75,0,-6.65E-03,-2.57E-02,-7.09E-05
